Street_One,Street_Two,address,lat,lng
MISSION ST,ITALY AVE,MISSION ST@ITALY AVE,37.7184779,-122.4395356
MISSION ST,NEW MONTGOMERY ST,MISSION ST@NEW MONTGOMERY ST,37.7874561,-122.4005234
MISSION ST,01ST ST,MISSION ST@01ST ST,37.7897755,-122.3975913
MISSION ST,20TH ST,MISSION ST@20TH ST,37.7586391,-122.4190804
MISSION ST,FREMONT ST,MISSION ST@FREMONT ST,37.7904547,-122.3967264
MISSION ST,13TH ST,MISSION ST@13TH ST,37.7699578,-122.4201876
MISSION ST,ERIE ST,MISSION ST@ERIE ST,37.7690631,-122.4200723
MISSION ST,BEALE ST,MISSION ST@BEALE ST,37.7911592,-122.3958262
MISSION ST,FAIR AVE,MISSION ST@FAIR AVE,37.7456748,-122.4198465
MISSION ST,SAINT MARYS AVE,MISSION ST@SAINT MARYS AVE,37.7339532,-122.4261421
MISSION ST,SENECA AVE,MISSION ST@SENECA AVE,37.7176754,-122.4401492
MISSION ST,ANTHONY ST,MISSION ST@ANTHONY ST,37.7883744,-122.3993622
MISSION ST,JESSIE EAST ST,MISSION ST@JESSIE EAST ST,37.7840079,-122.4048747
MISSION ST,SILVER AVE,MISSION ST@SILVER AVE,37.7287485,-122.4313198
MISSION ST,MOUNT VERNON AVE,MISSION ST@MOUNT VERNON AVE,37.7146065,-122.4426697
MISSION ST,30TH ST,MISSION ST@30TH ST,37.7423869,-122.4219821
MISSION ST,MAIN ST,MISSION ST@MAIN ST,37.7918484,-122.3949553
MISSION ST,TRUMBULL ST,MISSION ST@TRUMBULL ST,37.7307966,-122.4293345
MISSION ST,15TH ST,MISSION ST@15TH ST,37.7666804,-122.4198536
MISSION ST,KINGSTON ST,MISSION ST@KINGSTON ST,37.7417506,-122.4223917
MISSION ST,TINGLEY ST,MISSION ST@TINGLEY ST,37.7282519,-122.431806
MISSION ST,THERESA ST,MISSION ST@THERESA ST,37.7277166,-122.4324038
MISSION ST,PARK ST,MISSION ST@PARK ST,37.7367496,-122.4242484
MISSION ST,OLIVER ST,MISSION ST@OLIVER ST,37.7095562,-122.4505193
MISSION ST,STEUART ST,MISSION ST@STEUART ST,37.7932317,-122.3932047
MISSION ST,HURON AVE,MISSION ST@HURON AVE,37.7083052,-122.4541936
MISSION ST,SYCAMORE ST,MISSION ST@SYCAMORE ST,37.7627172,-122.4194705
MISSION ST,02ND ST,MISSION ST@02ND ST,37.7880171,-122.399817
MISSION ST,MINT ST,MISSION ST@MINT ST,37.7822028,-122.4071833
MISSION ST,GENEVA AVE,MISSION ST@GENEVA AVE,37.716494,-122.4410222
MISSION ST,CORTLAND AVE,MISSION ST@CORTLAND AVE,37.7410375,-122.4228531
MISSION ST,22ND ST,MISSION ST@22ND ST,37.7554447,-122.4187761
MISSION ST,06TH ST,MISSION ST@06TH ST,37.7809745,-122.4087337
MISSION ST,PRECITA AVE,MISSION ST@PRECITA AVE,37.7467814,-122.4191417
MISSION ST,17TH ST,MISSION ST@17TH ST,37.7634446,-122.4195422
MISSION ST,CASTLE MANOR AVE,MISSION ST@CASTLE MANOR AVE,37.7292307,-122.4308447
MISSION ST,ALLISON ST,MISSION ST@ALLISON ST,37.7146065,-122.4426697
MISSION ST,26TH ST,MISSION ST@26TH ST,37.749044,-122.4181659
MISSION ST,VIRGINIA AVE,MISSION ST@VIRGINIA AVE,37.743139,-122.4214971
MISSION ST,COTTER ST,MISSION ST@COTTER ST,37.7271822,-122.4329353
